Order_ID,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Pickup_Time,Weather,Traffic,Vehicle,Delivery_Time
ialx566343618,22.745049,75.892471,22.765049,75.912471,11:45:00,Sunny,High ,motorcycle ,120
akqg208421122,12.913041,77.683237,13.043041,77.813237,19:50:00,Stormy,Jam ,scooter ,165
njpu434582536,12.914264,77.6784,12.924264,77.6884,8:45:00,Sandstorms,Low ,motorcycle ,130
rjto796129700,11.003669,76.976494,11.053669,77.026494,18:10:00,Sunny,Medium ,motorcycle ,105
zguw716275638,12.972793,80.249982,13.012793,80.289982,13:45:00,Cloudy,High ,scooter ,150
fxuu788413734,17.431668,78.408321,17.461668,78.438321,21:30:00,Cloudy,Jam ,motorcycle ,130
njmo150975311,23.369746,85.33982,23.479746,85.44982,19:30:00,Fog,Jam ,scooter ,200
jvjc772545076,12.352058,76.60665,12.482058,76.73665,17:30:00,Cloudy,Medium ,motorcycle ,160
uaeb808891380,17.433809,78.386744,17.563809,78.516744,21:05:00,Stormy,Jam ,motorcycle ,170
bgvc052754213,30.327968,78.046106,30.397968,78.116106,22:10:00,Fog,Jam ,motorcycle ,230
vmau710398846,10.003064,76.307589,10.043064,76.347589,15:05:00,Stormy,High ,motorcycle ,115
lcwn330553507,18.56245,73.916619,18.65245,74.006619,17:40:00,Sandstorms,Medium ,scooter ,105
wcjs752046999,30.899584,75.809346,30.919584,75.829346,9:30:00,Sandstorms,Low ,motorcycle ,100
blhl288691670,26.463504,80.372929,26.593504,80.502929,20:05:00,Fog,Jam ,scooter ,205
zyvo118176215,19.176269,72.836721,19.266269,72.926721,20:35:00,Sandstorms,Jam ,van,100
uhfs888375680,12.311072,76.654878,12.351072,76.694878,15:10:00,Windy,High ,scooter ,33
vmfv999642595,18.592718,73.773572,18.702718,73.883572,20:40:00,Sandstorms,Jam ,motorcycle ,200
qfgc848777135,17.426228,78.407495,17.496228,78.477495,20:50:00,Cloudy,Jam ,motorcycle ,205
vwmc439983136,22.552672,88.352885,22.582672,88.382885,21:30:00,Windy,Jam ,motorcycle ,75
ntzy027061451,18.563934,73.915367,18.643935,73.995367,20:25:00,Sandstorms,Jam ,motorcycle ,180
pbjm971961647,23.357804,85.325146,23.487804,85.455146,22:45:00,Sandstorms,Low ,van,130
kjic578711491,11.003669,76.976494,11.013669,76.986494,8:30:00,Sandstorms,Low ,motorcycle ,100
rkzt648036688,12.986047,80.218114,13.116047,80.348114,19:45:00,Windy,Jam ,scooter ,195
segh259958026,19.221315,72.862381,19.261315,72.902381,12:30:00,Cloudy,High ,motorcycle ,170
owvs520891091,13.005801,80.250744,13.115801,80.360744,18:50:00,Sunny,Medium ,van,75
edrh271340988,26.849596,75.800512,26.879596,75.830512,20:40:00,Stormy,Jam ,motorcycle ,90
qvfd540651807,21.160522,72.771477,21.250522,72.861477,23:30:00,Cloudy,Low ,scooter ,190
gzfn634029300,12.934179,77.615797,13.024179,77.705797,21:35:00,Windy,Jam ,motorcycle ,235
xjps180812498,18.51421,73.838429,18.62421,73.948429,23:45:00,Windy,Low ,van,60
ahpg083217029,11.022477,76.995667,11.052477,77.025667,22:50:00,Sandstorms,Low ,motorcycle ,130
itii428784576,21.160437,72.774209,21.210437,72.824209,22:40:00,Stormy,Low ,motorcycle ,110
asis944862845,15.51315,73.78346,15.56315,73.83346,23:35:00,Sandstorms,Low ,motorcycle ,105
xzkg140273315,15.561295,73.749478,15.601295,73.789478,13:40:00,Cloudy,High ,scooter ,125
