,Order_ID,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Pickup_Time,Weather,Traffic,Delivery_Time
0,zyvo118176215,19.176269,72.836721,19.266269,72.926721,20:35:00,Sandstorms,Jam ,100
1,pbjm971961647,23.357804,85.325146,23.487804,85.455146,22:45:00,Sandstorms,Low ,130
2,owvs520891091,13.005801,80.250744,13.115801,80.360744,18:50:00,Sunny,Medium ,75
3,xjps180812498,18.51421,73.838429,18.62421,73.948429,23:45:00,Windy,Low ,60
4,rxgx102974679,19.221315,72.862381,19.281315,72.922381,21:45:00,Sunny,Jam ,55
5,cwvq091479872,25.449659,81.839744,25.469659,81.859744,10:30:00,Sandstorms,Low ,70
6,zkks967394571,22.311358,73.164798,22.351358,73.204798,12:45:00,Windy,High ,140
7,sdod930462581,26.891191,75.802083,26.981191,75.892083,17:55:00,Sunny,Medium ,75
8,pqya338067587,18.927584,72.832585,19.017584,72.922585,23:50:00,Sandstorms,Low ,145
9,kbdc711046313,23.359194,85.325447,23.419194,85.385447,23:15:00,Sunny,Low ,65
10,ksec432319879,21.17106,72.789292,21.25106,72.869292,19:55:00,Sunny,Jam ,85
11,lrbb564302256,13.081878,80.248519,13.171878,80.338519,0:00:00,Stormy,Low ,95
12,pbmy587069805,13.02978,80.208812,13.10978,80.288812,20:05:00,Sunny,Jam ,135
13,zhyo265634674,22.310237,73.158921,22.390237,73.238921,20:10:00,Stormy,Jam ,160
14,carl757119263,12.352058,76.60665,12.362058,76.61665,9:50:00,Windy,Low ,125
15,zeaw181992534,26.846156,75.8023,26.926156,75.8823,18:35:00,Windy,Medium ,75
16,zfgf746938367,12.972532,77.608179,13.022532,77.658179,18:25:00,Fog,Medium ,75
17,uxsb403561931,30.905562,75.832841,30.995562,75.922841,17:30:00,Cloudy,Medium ,155
18,eynm000731182,26.902328,75.794257,26.932328,75.824257,18:40:00,Fog,Medium ,90
19,gczg917526696,12.323978,76.627961,12.453978,76.757961,21:50:00,Sandstorms,Jam ,80
20,svpx912240732,11.025083,77.015393,11.055083,77.045393,17:30:00,Cloudy,Medium ,95
21,wypw496102732,0.0,0.0,0.03,0.03,21:25:00,Sunny,Jam ,85
22,ceed295586354,12.98041,77.640489,13.06041,77.720489,18:40:00,Windy,Medium ,24
23,trka856987401,17.428294,78.404423,17.558294,78.534423,19:50:00,Stormy,Jam ,80
24,wsoh266827723,22.761226,75.887522,22.821226,75.947522,17:35:00,Windy,Medium ,160
25,leff787822709,19.178321,72.834715,19.198321,72.854715,12:00:00,Stormy,High ,140
26,pmtg425435413,22.722634,75.886959,22.812634,75.976959,17:30:00,Windy,Medium ,160
27,zdvi265864937,18.520016,73.830547,18.530016,73.840547,10:20:00,Stormy,Low ,125
28,nmla539707523,12.986047,80.218114,13.056047,80.288114,19:15:00,Sandstorms,Medium ,120
29,dbyg819334603,15.496162,73.825364,15.536162,73.865364,13:55:00,Sandstorms,High ,27
30,pvcu885016852,11.022298,76.998349,11.042298,77.018349,11:40:00,Sunny,High ,80
31,dypb040671273,17.431477,78.40035,17.451477,78.42035,10:40:00,Cloudy,Low ,80
32,snnk405400637,21.186884,72.793616,21.196884,72.803616,8:50:00,Cloudy,Low ,90
33,iwgk345795951,25.450329,81.834279,25.540329,81.924279,22:20:00,Sandstorms,Low ,50
34,lpoo559278752,13.058616,80.264151,13.188616,80.394151,20:00:00,Sandstorms,Jam ,115
35,ajon496915803,22.651847,75.881991,22.681847,75.911991,23:25:00,Stormy,Low ,140
36,dhru296264034,17.440827,78.393391,17.500827,78.453391,21:00:00,Fog,Jam ,160
37,rqha328591539,26.914142,75.805704,27.024142,75.915704,22:40:00,Stormy,Low ,60
38,rhpv487359562,19.103249,72.846749,19.233249,72.976749,20:50:00,Cloudy,Jam ,195
39,oipo304682095,26.956431,75.776649,27.006431,75.826649,22:35:00,Windy,Low ,140
40,hpfx282951824,12.323225,76.630028,12.403225,76.710028,22:30:00,Cloudy,Low ,165
41,llgk631278832,22.753659,75.903365,22.773659,75.923365,12:05:00,Fog,High ,150
42,wrjr749227681,22.311603,73.165012,22.391603,73.245012,18:45:00,Sunny,Medium ,145
43,icjn893090853,22.722634,75.886959,22.732634,75.896959,8:20:00,Windy,Low ,120
44,xcpn200806737,21.186438,72.794115,21.296438,72.904115,22:25:00,Fog,Low ,175
45,jgze646200858,22.75004,75.902847,22.78004,75.932847,20:05:00,Sunny,Jam ,95
46,ubcd783242087,12.326356,76.619103,12.366356,76.659103,17:05:00,Sunny,Medium ,85
47,kscw878662353,21.160522,72.771477,21.170522,72.781477,10:10:00,Sunny,Low ,60
48,jrzw710510668,26.902328,75.794257,26.922328,75.814257,9:30:00,Stormy,Low ,135
49,jysr427028144,26.911927,75.797282,27.041927,75.927282,17:55:00,Sandstorms,Medium ,135
50,mirt199087171,22.551084,88.354127,22.561084,88.364127,10:25:00,Sandstorms,Low ,140
51,rosu742347769,12.949934,77.699386,13.019934,77.769386,22:05:00,Windy,Jam ,135
52,kddb655628516,22.569358,88.433452,22.619358,88.483452,21:40:00,Stormy,Jam ,140
53,zvkx405674622,17.431668,78.408321,17.521668,78.498321,18:10:00,Stormy,Medium ,115
54,opdf699695945,22.727021,75.884167,22.737021,75.894167,8:30:00,Fog,Low ,80
55,gvjx942268592,12.978453,77.643685,12.998453,77.663685,10:45:00,Windy,Low ,135
56,kwvo176250144,26.905287,75.794592,27.045287,75.934592,21:50:00,Cloudy,Jam ,185
57,ojkf639678702,25.443994,81.860187,25.583994,82.000187,23:10:00,Cloudy,Low ,130
58,znzw919146964,17.41233,78.449654,17.42233,78.459654,12:10:00,Sunny,High ,65
59,caty508037770,0.0,0.0,0.08,0.08,17:35:00,Stormy,Medium ,145
60,mpkj907688327,13.022394,80.242439,13.052394,80.272439,21:00:00,Windy,Jam ,150
61,zbwm782393236,22.311844,73.165081,22.441844,73.295081,21:35:00,Fog,Jam ,240
62,hprk377013710,22.760072,75.892574,22.780072,75.912574,11:10:00,Cloudy,Low ,95
63,dvkw198193286,22.725748,75.898497,22.815748,75.988497,0:15:00,Windy,Low ,55
64,eamn881338159,22.722634,75.886959,22.742634,75.906959,8:30:00,Cloudy,Low ,90
65,izkt125502221,0.0,0.0,0.06,0.06,18:05:00,Fog,Medium ,14
66,jmiq794769698,0.0,0.0,0.08,0.08,18:05:00,Windy,Medium ,75
67,dcjq369735860,19.1813,72.836191,19.2313,72.886191,20:30:00,Stormy,Jam ,145
68,dmmp119908815,19.003517,72.82765,19.033517,72.85765,23:15:00,Sandstorms,Low ,145
69,lojq488482902,21.160522,72.771477,21.220522,72.831477,21:15:00,Sandstorms,Jam ,160
70,kmlj204977311,0.0,0.0,0.05,0.05,23:45:00,Cloudy,Low ,95
71,lrds708812627,21.183434,72.814492,21.253434,72.884492,22:05:00,Stormy,Jam ,125
72,ocnv924293810,0.0,0.0,0.07,0.07,19:35:00,Cloudy,Jam ,175
73,wxew867198992,19.1093,72.825451,19.1293,72.845451,8:40:00,Cloudy,Low ,90
74,jhtk998208672,19.091458,72.827808,19.161458,72.897808,17:25:00,Windy,Medium ,160
75,pvan038951763,26.902328,75.794257,26.952328,75.844257,17:25:00,Cloudy,Medium ,80
76,ptkj030172940,18.56245,73.916619,18.61245,73.966619,22:55:00,Windy,Low ,50
77,cezg106088049,21.170096,72.789122,21.190096,72.809122,11:30:00,Fog,High ,25
78,mxcg722447955,12.310972,76.659264,12.360972,76.709264,19:00:00,Sandstorms,Medium ,34
79,urhz950401191,30.899584,75.809346,30.929584,75.839346,20:00:00,Sandstorms,Jam ,19
80,mzcl470074616,13.081878,80.248519,13.121878,80.288519,16:50:00,Sandstorms,Medium ,100
